D:\Training Data\IMG\center_2018_02_15_23_20_27_140.jpg,D:\Training Data\IMG\left_2018_02_15_23_20_27_140.jpg,D:\Training Data\IMG\right_2018_02_15_23_20_27_140.jpg,0,1,0,25.06167
D:\Training Data\IMG\center_2018_02_15_23_20_27_211.jpg,D:\Training Data\IMG\left_2018_02_15_23_20_27_211.jpg,D:\Training Data\IMG\right_2018_02_15_23_20_27_211.jpg,0,1,0,25.63719
D:\Training Data\IMG\center_2018_02_15_23_20_27_281.jpg,D:\Training Data\IMG\left_2018_02_15_23_20_27_281.jpg,D:\Training Data\IMG\right_2018_02_15_23_20_27_281.jpg,-0.2,1,0,26.38071
D:\Training Data\IMG\center_2018_02_15_23_20_27_355.jpg,D:\Training Data\IMG\left_2018_02_15_23_20_27_355.jpg,D:\Training Data\IMG\right_2018_02_15_23_20_27_355.jpg,-0.4,1,0,27.05134
D:\Training Data\IMG\center_2018_02_15_23_20_27_424.jpg,D:\Training Data\IMG\left_2018_02_15_23_20_27_424.jpg,D:\Training Data\IMG\right_2018_02_15_23_20_27_424.jpg,0,1,0,27.56746
D:\Training Data\IMG\center_2018_02_15_23_20_27_495.jpg,D:\Training Data\IMG\left_2018_02_15_23_20_27_495.jpg,D:\Training Data\IMG\right_2018_02_15_23_20_27_495.jpg,0,1,0,28.3044
D:\Training Data\IMG\center_2018_02_15_23_20_27_565.jpg,D:\Training Data\IMG\left_2018_02_15_23_20_27_565.jpg,D:\Training Data\IMG\right_2018_02_15_23_20_27_565.jpg,0,1,0,28.85817
D:\Training Data\IMG\center_2018_02_15_23_20_27_638.jpg,D:\Training Data\IMG\left_2018_02_15_23_20_27_638.jpg,D:\Training Data\IMG\right_2018_02_15_23_20_27_638.jpg,0,1,0,29.59286
D:\Training Data\IMG\center_2018_02_15_23_20_27_708.jpg,D:\Training Data\IMG\left_2018_02_15_23_20_27_708.jpg,D:\Training Data\IMG\right_2018_02_15_23_20_27_708.jpg,0,1,0,30.1403
D:\Training Data\IMG\center_2018_02_15_23_20_27_778.jpg,D:\Training Data\IMG\left_2018_02_15_23_20_27_778.jpg,D:\Training Data\IMG\right_2018_02_15_23_20_27_778.jpg,-0.1,1,0,30.1881
D:\Training Data\IMG\center_2018_02_15_23_20_27_848.jpg,D:\Training Data\IMG\left_2018_02_15_23_20_27_848.jpg,D:\Training Data\IMG\right_2018_02_15_23_20_27_848.jpg,-0.25,1,0,30.17535
D:\Training Data\IMG\center_2018_02_15_23_20_27_917.jpg,D:\Training Data\IMG\left_2018_02_15_23_20_27_917.jpg,D:\Training Data\IMG\right_2018_02_15_23_20_27_917.jpg,-0.45,1,0,30.15199
D:\Training Data\IMG\center_2018_02_15_23_20_27_989.jpg,D:\Training Data\IMG\left_2018_02_15_23_20_27_989.jpg,D:\Training Data\IMG\right_2018_02_15_23_20_27_989.jpg,0,1,0,30.17519
